cX cY
-5396.421875 -3100.522949
-5368.401855 -3112.819092
-5339.166992 -3123.528076
-5310.483887 -3140.769043
-5290.231934 -3148.291992
-5276.250977 -3151.571045
-5259.597168 -3158.824951
-5235.897949 -3160.172119
-5210.758789 -3156.312012
-5210.758789 -3156.312012
-5186.227051 -3153.246094
-5169.879883 -3147.614014
-5146.332031 -3142.516113
-5131.86084 -3133.525879
-5112.861816 -3121.0979
-5087.422852 -3103.555908
-5068.839844 -3093.335938
-5043.138184 -3067.144043
-5009.76123 -3045.02002
-4984.64502 -3030.391113
-4961.155762 -3019.556885
-4944.165039 -3008.0979
-4924.501953 -3000.614014
-4910.221191 -2990.211914
-4894.573242 -2984.666016
-4879.625977 -2979.207031
-4858.789062 -2975.166992
-4832.950195 -2971.219971
-4804.687012 -2964.096924
-4804.687012 -2964.096924
-4787.865234 -2961.995117
-4774.130859 -2958.124023
-4774.130859 -2958.124023
-4754.504883 -2955.672119
-4723.782227 -2940.342041
-4701.085938 -2928.888916
-4687.223145 -2920.693115
-4666.348145 -2911.621094
-4651.969238 -2901.926025
-4634.313965 -2895.409912
-4624.881836 -2891.358887
-4614.651855 -2887.926025
-4614.651855 -2887.926025
-4604.648926 -2888.112061
-4590.953125 -2889.272949
-4576.460938 -2891.052002
-4558.652832 -2890.980957
-4533.133789 -2889.947021
-4508.791992 -2885.468018
-4508.755859 -2880.437012
-4488.866211 -2869.333984
-4461.683105 -2859.474121
-4437.361816 -2844.227051
-4402.680176 -2821.220947
-4376.311035 -2799.9729
-4366.234863 -2790.096924
-4349.719238 -2775.106934
-4330.075195 -2756.854004
-4316.685059 -2745.125977
-4294.086914 -2732.967041
-4278.118164 -2724.508057
-4256.542969 -2715.349121
-4212.689941 -2696.943115
-4190.03418 -2690.520996
-4163.553223 -2680.749023
-4118.295898 -2662.166992
-4076.167969 -2646.8479
-4040.156982 -2633.72998
-3977.854004 -2609.427979
-3931.708984 -2592.172119
-3884.541992 -2571.915039
-3842.319092 -2557.302002
-3800.830078 -2547.809082
-3800.830078 -2547.809082
-3763.398926 -2545.284912
-3714.996094 -2534.209961
-3679.555908 -2516.85498
-3651.254883 -2504.699951
-3627.089111 -2483.01001
-3600.626953 -2462.468018
-3575.221924 -2449.958008
-3548.419922 -2437.272949
-3519.73999 -2427.944092
-3502.312988 -2425.048096
-3499.985107 -2421.166016
-3499.985107 -2421.166016
-3490.168945 -2419.938965
-3468.12207 -2414.312012
-3468.12207 -2414.312012
-3445.5 -2412.922119
-3427.37207 -2409.937988
-3401.208984 -2403.076904
-3379.918945 -2391.799072
-3352.962891 -2385.558105
-3324.886963 -2377.022949
-3324.886963 -2377.022949
-3298.253906 -2373.695068
-3283.023926 -2370.35498
-3283.023926 -2370.35498
-3248.906982 -2369.681885
-3205.829102 -2361.426025
-3205.829102 -2361.426025
-3172.694092 -2358.720947
-3131.343994 -2353.552979
-3092.980957 -2347.322998
-3060.129883 -2342.5
-3060.129883 -2342.5
-3019.89502 -2339.625
-2974.334961 -2333.931885
-2927.089111 -2330.181885
-2887.422119 -2323.070068
-2865.879883 -2318.941895
-2865.879883 -2318.941895
-2838.582031 -2320.556885
-2814.145996 -2316.784912
-2814.145996 -2316.784912
-2785.823975 -2315.399902
-2758.206055 -2314.103027
-2723.667969 -2311.2229
-2692.035889 -2307.989014
-2658.542969 -2297.339111
-2636.680908 -2290.299072
-2608.099121 -2280.262939
-2579.475098 -2265.197021
-2549.677002 -2253.572998
-2512.039062 -2236.662109
-2489.345947 -2225.208984
-2477.809082 -2220.89502
-2442.916992 -2210.071045
-2409.233887 -2200.834961
-2388.490967 -2196.087891
-2388.490967 -2196.087891
-2361.762939 -2193.466064
-2327.226074 -2190.586914
-2290.079102 -2185.944092
-2250.125 -2180.950928
-2226.802002 -2179.471924
-2198.636963 -2171.644043
-2162.437012 -2159.938965
-2133.434082 -2147.697021
-2104.186035 -2142.605957
-2075.031982 -2136.808105
-2075.031982 -2136.808105
-2046.197998 -2133.923096
-1998.954956 -2130.173096
-1960.404053 -2125.35498
-1927.838989 -2118.414062
-1903.782959 -2111.815918
-1885.651978 -2108.832031
-1872.488037 -2100.724121
-1851.93396 -2094.563965
-1815.088989 -2077.033936
-1773.19104 -2065.334961
-1738.713013 -2056.718018
-1696.753052 -2050.756104
-1696.753052 -2050.756104
-1663.010986 -2047.256958
-1620.578003 -2044.827026
-1582.916992 -2038.68396
-1582.916992 -2038.68396
-1531.750977 -2032.290039
-1525.654053 -2031.937988
-1489.500977 -2029.852051
-1488.98999 -2028.353027
-1488.98999 -2028.353027
-1448.838013 -2024.75
-1419.166992 -2017.439941
-1381.871948 -2008.456055
-1349.357056 -1995.766968
-1304.827026 -1982.28894
-1248.718994 -1959.465942
-1199.807007 -1936.110962
-1153.040039 -1918.047974
-1098.050049 -1897.517944
-1048.990967 -1880.600952
-1003.453003 -1853.365967
-970.195679 -1835.562012
-931.290527 -1812.027954
-897.29248 -1789.110962
-861.608887 -1768.133057
-838.049194 -1753.728027
-832.753418 -1750.630005
-828.729309 -1747.506958
-763.863098 -1704.932983
-717.129517 -1665.352051
-697.719788 -1639.959961
-673.024719 -1616.774048
-642.156372 -1597.119019
-599.478821 -1564.503052
-562.31488 -1533.296021
-549.71283 -1520.953979
-523.442871 -1488.244995
-505.207214 -1459.412964
-482.996094 -1433.668945
-461.486115 -1408.014038
-441.313995 -1361.720947
-427.340088 -1327.686035
-412.172607 -1281.303955
-389.290894 -1233.954956
-371.90921 -1198.774048
-352.365997 -1169.060059
-340.566895 -1135.412964
-340.566895 -1135.412964
-337.168304 -1124.182007
-336.240814 -1119.744019
-332.560211 -1110.636963
-330.254913 -1103.863037
-327.887207 -1096.401978
-326.635193 -1089.787964
-326.952087 -1066.154053
-330.356812 -1040.755005
-331.889313 -1018.708008
-326.595093 -994.369629
-316.84671 -950.103027
-308.617493 -921.09198
-302.39679 -893.050903
-303.695709 -867.387817
-307.667999 -837.755371
-310.104492 -803.625916
-306.020111 -754.330811
-305.446686 -732.020386
-304.439514 -718.263306
-302.046814 -693.571289
-299.859711 -656.709778
-298.292999 -609.882874
-303.439209 -576.81073
-310.195801 -531.745728
-312.134308 -485.358185
-314.826202 -406.782715
-314.130005 -342.84729
-314.285004 -272.562103
-314.303711 -197.954803
-311.364807 -102.890297
-314.150513 -97.774391
-315.348297 -83.562599
-316.865814 -72.262161
-314.366211 -59.0233
-315.942902 -41.98534
-317.421997 -25.654551
-315.173615 -5.265428
-316.273987 8.240163
-315.330414 27.74814
-316.33609 40.54718
-316.152588 65.70472
-314.543396 80.268219
-309.242188 93.856628
-301.591888 100.557503
-283.460999 103.541397
-283.460999 103.541397
-261.957703 102.638397
-244.151901 102.709396
-229.375504 98.811531
-213.992493 95.706253
-199.497498 93.927887
-186.634903 88.354057
-171.382294 80.924332
-160.241501 72.262733
-144.932693 59.096119
-133.318604 46.90377
-119.601097 34.972851
-111.776604 24.461769
-101.239601 15.00699
-94.873444 10.05737
-84.300797 5.63405
-79.65918 -2.403678
-73.103699 -8.7659
-62.702431 -22.545799
-56.36935 -32.525581
-50.931839 -41.182869
-42.122101 -53.725609
-37.98954 -63.262581
-34.652859 -72.180481
-29.95496 -85.955589
-25.917179 -94.785522
-19.81435 -108.3853
-11.00461 -120.928596
-5.564505 -129.584503
6.715017 -146.720901
14.087 -164.470505
20.37916 -179.483002
19.757799 -196.076797
18.62472 -214.171204
17.26399 -235.884796
14.76709 -249.122803
13.66956 -262.185303
10.75296 -277.631287
8.028352 -294.488007
5.777067 -314.876007
1.878024 -328.28949
-0.621591 -341.527802
-2.074389 -362.534607
-5.349095 -385.923187
-7.751266 -399.867798
-8.656628 -414.342987
-12.59677 -432.788605
-12.89847 -446.470093
-14.54326 -466.064514
-14.04648 -480.364288
-15.14395 -493.427704
-11.55875 -509.496185
-9.283759 -526.446594
-6.364066 -537.571594
-2.042106 -548.521729
6.711285 -555.326477
8.285177 -572.364319
10.52451 -594.34613
14.33463 -606.795776
16.70429 -624.452209
17.76919 -642.990723
18.10004 -666.646423
18.65045 -686.684814
17.801371 -706.897888
12.19848 -734.168274
7.559892 -752.700623
1.838943 -768.496399
-2.15217 -781.202515
-8.66901 -796.378784
-18.496361 -813.406311
-26.12591 -830.875488
-34.55389 -847.727478
-41.67704 -863.698303
-44.910648 -882.055298
-49.454571 -901.293579
-46.762531 -916.037292
-51.114281 -936.688782
-53.744228 -954.251587
-57.26461 -970.490417
-59.669498 -984.435181
-62.37344 -1012.060974
-62.956478 -1023.622986
-58.841492 -1048.962036
-62.139721 -1061.581055
-62.435921 -1075.261963
-64.556824 -1091.32605
-65.654221 -1104.389038
-66.240044 -1115.952026
-67.240013 -1129.720947
-71.650833 -1144.63501
-73.638786 -1156.373047
-77.120789 -1167.579956
-81.401268 -1178.167969
-80.904427 -1192.468994
-91.758087 -1212.494995
-96.361023 -1225.996948
-103.478699 -1241.965942
-114.235001 -1262.699951
-124.615303 -1286.258057
-130.046799 -1304.171997
-133.815598 -1313.26001
-133.830505 -1329.061035
-133.715103 -1340.536011
-133.031693 -1356.249023
-130.337006 -1370.993042
-133.537704 -1384.317993
-133.910599 -1408.062012
-134.345306 -1426.069946
-138.339096 -1438.776978
-140.078598 -1457.665039
-141.173203 -1470.728027
-144.980499 -1484.847046
-146.494904 -1500.116943
-148.459396 -1522.624023
-148.571701 -1537.718994
-157.488007 -1566.838989
-163.398407 -1581.222046
-166.368698 -1590.927979
-173.072205 -1604.692017
-180.192596 -1620.661987
-181.991196 -1633.812988
-185.606201 -1649.344971
-187.0616 -1670.353027
-188.384201 -1687.034058
-189.709305 -1703.715942
-189.437393 -1721.63501
-190.286499 -1741.848022
-193.487198 -1755.17395
-190.132401 -1774.862061
-194.806595 -1798.426025
-192.945999 -1817.582031
-198.415802 -1840.526978
-200.001602 -1865.859009
-203.202301 -1879.185059
-208.160507 -1900.630005
-207.530396 -1937.175049
-212.692795 -1973.008057
-216.970398 -2010.166016
-220.280594 -2038.58606
-222.055695 -2062.504883
-223.380905 -2079.187988
-227.126297 -2099.043945
-225.8927 -2108.226074
-233.184494 -2133.552979
-241.231094 -2153.22998
-249.943207 -2167.961914
-260.794098 -2187.98999
-280.85379 -2208.448975
-300.076691 -2224.496094
-319.967896 -2235.5979
-342.527496 -2242.727051
-366.870789 -2247.205078
-390.610413 -2250.889893
-417.184601 -2259.955078
-449.654205 -2267.604004
-473.867188 -2267.75708
-500.654114 -2264.64209
-538.333374 -2260.014893
-574.705078 -2254.50708
-600.982971 -2249.89209
-624.965576 -2246.426025
-652.266907 -2244.811035
-675.548401 -2241.258057
-709.023804 -2236.105957
-735.301819 -2231.48999
-756.953308 -2224.143066
-784.728088 -2218.99707
-814.094421 -2212.613037
-840.976074 -2208.791016
-883.015625 -2198.246094
-927.610901 -2195.202881
-963.473694 -2188.194092
-1001.057983 -2184.273926
-1039.020996 -2177.529053
-1061.927002 -2176.801025
-1091.100952 -2171.829102
-1112.187012 -2168.718994
-1148.656982 -2162.506104
-1176.884033 -2164.596924
-1201.70105 -2165.543945
-1223.426025 -2168.259033
-1247.958984 -2171.324951
-1263.383057 -2173.251953
-1290.204956 -2175.167969
-1319.73999 -2178.141113
-1319.73999 -2178.141113
-1338.569946 -2181.212891
-1356.791992 -2183.48999
-1382.215942 -2185.22998
-1401.234009 -2186.888916
-1429.422974 -2183.948975
-1451.909058 -2181.013916
-1468.791992 -2177.378906
-1493.19104 -2176.120117
-1504.177979 -2173.9021
-1527.369995 -2171.054932
-1552.849976 -2167.059082
-1575.562988 -2167.74292
-1595.152954 -2165.164062
-1595.152954 -2165.164062
-1620.102051 -2170.437012
-1650.145996 -2174.909912
-1671.07605 -2178.24292
-1689.490967 -2179.108887
-1716.222046 -2181.72998
-1734.44397 -2184.008057
-1734.44397 -2184.008057
-1750.090942 -2189.553955
-1767.654053 -2196.774902
-1800.823975 -2204.511963
-1825.295044 -2213.314941
-1843.745972 -2219.210938
-1860.890991 -2224.226074
-1879.244995 -2230.827881
-1893.68103 -2234.787109
-1913.911987 -2238.032959
-1936.661011 -2243.748047
-1967.161011 -2255.458984
-1994.630981 -2263.200928
-2019.006958 -2272.709961
-2037.687988 -2282.226074
-2061.74707 -2288.822998
-2080.253906 -2288.981934
-2080.253906 -2288.981934
-2101.790039 -2293.108887
-2138.904053 -2292.720947
-2138.904053 -2292.720947
-2179.878906 -2300.714111
-2213.522949 -2304.917969
-2241.558105 -2308.422119
-2274.180908 -2309.626953
-2274.180908 -2309.626953
-2300.758057 -2318.693115
-2333.039062 -2327.753906
-2359.993896 -2333.995117
-2383.48291 -2344.830078
-2407.160889 -2354.251953
-2430.235107 -2362.879883
-2455.917969 -2373.270996
-2477.459961 -2377.398926
-2496.001953 -2382.589111
-2512.822998 -2384.690918
-2512.822998 -2384.690918
-2530.764893 -2389.086914
-2550.298096 -2392.24707
-2573.559082 -2399.461914
-2594.110107 -2405.621094
-2622.092041 -2414.863037
-2647.683105 -2425.959961
-2674.488037 -2438.645996
-2693.316895 -2441.717041
-2717.696045 -2451.227051
-2752.266113 -2459.136963
-2787.540039 -2467.135986
-2821.412109 -2474.959961
-2864.301025 -2484.62793
-2903.704102 -2483.090088
-2903.704102 -2483.090088
-2951.081055 -2491.165039
-3006.680908 -2501.704102
-3053.965088 -2510.485107
-3116.895996 -2524.812988
-3168.156006 -2530.5
-3225.916016 -2535.563965
-3298.112061 -2544.585938
-3340.166016 -2549.842041
-3340.166016 -2549.842041
-3366.610107 -2554.583008
-3390.728027 -2555.443115
-3390.728027 -2555.443115
-3411.468994 -2560.188965
-3432.404053 -2563.522949
-3454.072998 -2571.977051
-3489.800049 -2587.212891
-3503.665039 -2595.408936
-3521.131104 -2603.336914
-3547.230957 -2615.934082
-3567.181885 -2621.299072
-3588.946045 -2629.045898
-3607.170898 -2631.323975
-3607.170898 -2631.323975
-3632.212891 -2635.889893
-3662.806885 -2646.894043
-3688.87207 -2654.459961
-3716.245117 -2662.907959
-3747.406982 -2669.675049
-3770.89502 -2680.509033
-3798.781006 -2690.457031
-3837.5 -2704.631104
-3857.768066 -2712.908936
-3869.208984 -2717.929932
-3894.51709 -2731.145996
-3933.008057 -2741.700928
-3961.915039 -2754.648926
-3982.468994 -2760.808105
-4003.854004 -2771.378906
-4023.519043 -2778.864014
-4044.39209 -2787.936035
-4073.583984 -2798.764893
-4108.478027 -2809.587891
-4132.950195 -2818.39209
-4153.692871 -2823.138916
-4172.75 -2829.827881
-4194.230957 -2839.694092
-4214.5 -2847.971924
-4233.272949 -2856.781006
-4252.368164 -2868.50293
-4271.366211 -2880.930908
-4288.545898 -2890.977051
-4305.820801 -2900.316895
-4307.830078 -2901.285889
-4328.89502 -2908.945068
-4343.13916 -2914.315918
-4350.602051 -2922.429932
-4364.655762 -2929.212891
-4383.10791 -2935.108887
-4398.508789 -2947.805908
-4416.388184 -2957.938965
-4427.544922 -2965.079102
-4447.663086 -2979.801025
-4466.754883 -2991.521973
-4485.147949 -3003.156006
-4514.414062 -3024.048096
-4540.777832 -3045.294922
-4566.729004 -3064.336914
-4595.161133 -3080.815918
-4627.479004 -3094.908936
-4666.066895 -3104.758057
-4686.204102 -3108.709961
-4714.599121 -3120.157959
-4729.902832 -3133.561035
-4745.208008 -3146.962891
-4764.432129 -3163.01001
-4781.87793 -3181.707031
-4796.103027 -3197.846924
-4806.214844 -3212.754883
-4816.803223 -3224.131104
-4834.115234 -3238.50293
-4845.366211 -3244.935059
-4855.728027 -3252.693115
-4871.600098 -3261.85791
-4884.803223 -3274.998047
-4906.188965 -3285.569092
-4922.479004 -3296.940918
-4935.964844 -3307.961914
-4949.869141 -3321.188965
-4987.901855 -3351.075928
-5020.899902 -3376.024902
-5059.086914 -3399.468018
-5082.195801 -3413.12793
-5131.599121 -3437.9729
-5176.283203 -3460.791992
-5223.868164 -3483.253906
-5263.133789 -3503.959961
-5311.799805 -3523.686035
-5352.146973 -3541.654053
-5403.804199 -3560.318115
-5445.47998 -3568.397949
-5485.850098 -3575.5979
-5509.23584 -3577.437988
